201705111530	713	943
201705111531	625	857
201705111532	724	929
201705111535	740	979
201705111536	657	887
201705111537	596	798
201705111538	553	724
201705111539	616	819
201705111540	544	735
201705111541	679	915
201705111542	652	861
201705111543	575	751
201705111544	737	964
201705111545	584	753
201705111546	672	904
201705111547	535	721
201705111548	579	749
201705111549	513	663
201705111550	629	816
201705111551	681	903
201705111552	721	925
201705111553	629	854
201705111554	675	878
201705111555	460	623
201705111556	746	994
201705111557	666	866
201705111558	735	975
201705111559	646	848
201705111600	578	782
201705111601	573	737
201705111602	584	788
201705111603	587	783
201705111604	632	843
201705111605	543	727
201705111606	643	830
201705111607	554	731
201705111608	713	959
201705111609	577	729
201705111610	624	821
201705111611	495	652
201705111612	654	849
201705111613	677	900
201705111614	704	942
201705111615	612	819
201705111616	480	660
201705111617	651	863
201705111618	531	703
201705111619	487	661
201705111620	474	626
201705111621	467	621
201705111622	520	679
201705111623	748	980
201705111624	586	754
201705111625	473	612
201705111626	485	657
201705111627	744	980
201705111628	562	743
201705111629	677	893
201705111630	516	664
201705111631	687	897
201705111632	713	948
201705111633	531	693
201705111634	556	732
201705111635	636	831
201705111636	590	775
201705111637	577	754
201705111638	520	690
201705111639	476	630
201705111641	490	670
201705111642	513	681
